is_about,is_quality_measurement_of,has_specified_numeric_value,has_measurement_unit_label
42866_Q1,ML 1+1,59.81,ME
42866_Q2,ML 1+1,77.89,ME
42866_Q3,ML 1+1,67.52,ME
42866_Q4,ML 1+1,70.61,ME
42866_Q5,ML 1+1,59.57,ME
42866_Q6,ML 1+1,69.59,ME
42866_Q7,ML 1+1,77.28,ME
42866_Q8,ML 1+1,69.09,ME
42866_Q1,ML 1+4,51.11,ME
42866_Q2,ML 1+4,65.01,ME
42866_Q3,ML 1+4,58.87,ME
42866_Q4,ML 1+4,62.53,ME
42866_Q5,ML 1+4,51.25,ME
42866_Q6,ML 1+4,60.96,ME
42866_Q7,ML 1+4,64.56,ME
42866_Q8,ML 1+4,60.91,ME
42866_Q1,MSR,0.552,log(ME)/log(s)
42866_Q2,MSR,0.436,log(ME)/log(s)
42866_Q3,MSR,0.481,log(ME)/log(s)
42866_Q4,MSR,0.434,log(ME)/log(s)
42866_Q5,MSR,0.533,log(ME)/log(s)
42866_Q6,MSR,0.478,log(ME)/log(s)
42866_Q7,MSR,0.436,log(ME)/log(s)
42866_Q8,MSR,0.442,log(ME)/log(s)
42866_Q1,Umsatzzeit 90percent,881.22,[sec]
42866_Q2,Umsatzzeit 90percent,793.08,[sec]
42866_Q3,Umsatzzeit 90percent,886.44,[sec]
42866_Q4,Umsatzzeit 90percent,881.1,[sec]
42866_Q5,Umsatzzeit 90percent,876.24,[sec]
42866_Q6,Umsatzzeit 90percent,916.74,[sec]
42866_Q7,Umsatzzeit 90percent,870.66,[sec]
42866_Q8,Umsatzzeit 90percent,880.8,[sec]
42866_Q1,S_dash bei 90percent Umsatz,19.41,dNm
42866_Q2,S_dash bei 90percent Umsatz,17.57,dNm
42866_Q3,S_dash bei 90percent Umsatz,17.58,dNm
42866_Q4,S_dash bei 90percent Umsatz,17.32,dNm
42866_Q5,S_dash bei 90percent Umsatz,18.86,dNm
42866_Q6,S_dash bei 90percent Umsatz,17.78,dNm
42866_Q7,S_dash bei 90percent Umsatz,17.41,dNm
