is_about,is_quality_measurement_of,has_specified_numeric_value,has_measurement_unit_label
44530_Q1,ML 1+1,87.1,ME
44530_Q2,ML 1+1,81.46,ME
44530_Q3,ML 1+1,86.74,ME
44530_Q4,ML 1+1,88.72,ME
44530_Q5,ML 1+1,89.87,ME
44530_Q6,ML 1+1,84.41,ME
44530_Q7,ML 1+1,84.38,ME
44530_Q8,ML 1+1,88.56,ME
44530_Q1,ML 1+4,71.51,ME
44530_Q2,ML 1+4,70.28,ME
44530_Q3,ML 1+4,77.03,ME
44530_Q4,ML 1+4,76.02,ME
44530_Q5,ML 1+4,75.05,ME
44530_Q6,ML 1+4,70.95,ME
44530_Q7,ML 1+4,73.27,ME
44530_Q8,ML 1+4,76.09,ME
44530_Q1,MSR,0.325,log(ME)/log(s)
44530_Q2,MSR,0.346,log(ME)/log(s)
44530_Q3,MSR,0.397,log(ME)/log(s)
44530_Q4,MSR,0.345,log(ME)/log(s)
44530_Q5,MSR,0.316,log(ME)/log(s)
44530_Q6,MSR,0.379,log(ME)/log(s)
44530_Q7,MSR,0.357,log(ME)/log(s)
44530_Q8,MSR,0.347,log(ME)/log(s)
44530_Q1,Umsatzzeit 90percent,801.09,[sec]
44530_Q2,Umsatzzeit 90percent,716.32,[sec]
44530_Q3,Umsatzzeit 90percent,778.08,[sec]
44530_Q4,Umsatzzeit 90percent,710.28,[sec]
44530_Q5,Umsatzzeit 90percent,787.17,[sec]
44530_Q6,Umsatzzeit 90percent,724.59,[sec]
44530_Q7,Umsatzzeit 90percent,825.18,[sec]
44530_Q8,Umsatzzeit 90percent,581.19,[sec]
44530_Q1,S_dash bei 90percent Umsatz,16.97,dNm
44530_Q2,S_dash bei 90percent Umsatz,17.7,dNm
44530_Q3,S_dash bei 90percent Umsatz,17.38,dNm
44530_Q4,S_dash bei 90percent Umsatz,18.03,dNm
44530_Q5,S_dash bei 90percent Umsatz,17.39,dNm
44530_Q6,S_dash bei 90percent Umsatz,17.36,dNm
44530_Q7,S_dash bei 90percent Umsatz,17.76,dNm
44530_Q8,S_dash bei 90percent Umsatz,17.91,dNm
44530_Q1,Hardness_mean_value,68.8,Shore A
44530_Q2,Hardness_mean_value,67.43,Shore A
44530_Q3,Hardness_mean_value,66.87,Shore A
44530_Q4,Hardness_mean_value,68.1,Shore A
44530_Q5,Hardness_mean_value,66.93,Shore A
44530_Q6,Hardness_mean_value,67.53,Shore A
44530_Q7,Hardness_mean_value,67.2,Shore A
44530_Q8,Hardness_mean_value,67.0,Shore A
44530_Q1,Rebound_mean_value_1,33.53,percent
44530_Q2,Rebound_mean_value_1,35.67,percent
44530_Q3,Rebound_mean_value_1,35.87,percent
44530_Q4,Rebound_mean_value_1,34.8,percent
44530_Q5,Rebound_mean_value_1,32.67,percent
44530_Q6,Rebound_mean_value_1,35.6,percent
44530_Q7,Rebound_mean_value_1,36.27,percent
44530_Q8,Rebound_mean_value_1,35.6,percent
44530_Q1,Rebound_mean_value_2,56.5,percent
44530_Q2,Rebound_mean_value_2,56.0,percent
44530_Q3,Rebound_mean_value_2,57.5,percent
44530_Q4,Rebound_mean_value_2,56.5,percent
44530_Q5,Rebound_mean_value_2,56.5,percent
44530_Q6,Rebound_mean_value_2,57.5,percent
44530_Q7,Rebound_mean_value_2,57.5,percent
44530_Q8,Rebound_mean_value_2,58.5,percent
44530_Q1,Rebound_mean_value_3,60.0,percent
44530_Q2,Rebound_mean_value_3,61.5,percent
44530_Q3,Rebound_mean_value_3,61.5,percent
44530_Q4,Rebound_mean_value_3,59.5,percent
44530_Q5,Rebound_mean_value_3,59.5,percent
44530_Q6,Rebound_mean_value_3,60.0,percent
44530_Q7,Rebound_mean_value_3,60.5,percent
44530_Q8,Rebound_mean_value_3,60.5,percent
44530_Q1,S50,1.6,MPa
44530_Q2,S50,1.7,MPa
44530_Q3,S50,1.6,MPa
44530_Q4,S50,1.8,MPa
44530_Q5,S50,1.6,MPa
44530_Q6,S50,1.7,MPa
44530_Q7,S50,1.6,MPa
44530_Q8,S50,1.7,MPa
44530_Q1,S100,2.9,MPa
44530_Q2,S100,3.2,MPa
44530_Q3,S100,3.0,MPa
44530_Q4,S100,3.3,MPa
44530_Q5,S100,2.9,MPa
44530_Q6,S100,3.0,MPa
44530_Q7,S100,3.0,MPa
44530_Q8,S100,3.2,MPa
44530_Q1,S300,16.4,MPa
44530_Q2,S300,16.7,MPa
44530_Q3,S300,16.4,MPa
44530_Q4,S300,18.2,MPa
44530_Q5,S300,16.6,MPa
44530_Q6,S300,16.1,MPa
44530_Q7,S300,16.4,MPa
44530_Q8,S300,17.8,MPa
44530_Q1,D Median,353.0,percent
44530_Q2,D Median,330.0,percent
44530_Q3,D Median,375.0,percent
44530_Q4,D Median,340.0,percent
44530_Q5,D Median,357.0,percent
44530_Q6,D Median,381.0,percent
44530_Q7,D Median,368.0,percent
44530_Q8,D Median,361.0,percent
44530_Q1,F Median,20.6,MPa
44530_Q2,F Median,18.9,MPa
44530_Q3,F Median,22.4,MPa
44530_Q4,F Median,21.8,MPa
44530_Q5,F Median,21.4,MPa
44530_Q6,F Median,22.4,MPa
44530_Q7,F Median,21.8,MPa
44530_Q8,F Median,22.6,MPa
44530_Q1,E_dash_0_degree_celcius,27.14,MPa
44530_Q2,E_dash_0_degree_celcius,28.25,MPa
44530_Q3,E_dash_0_degree_celcius,31.34,MPa
44530_Q4,E_dash_0_degree_celcius,32.07,MPa
44530_Q5,E_dash_0_degree_celcius,28.83,MPa
44530_Q6,E_dash_0_degree_celcius,24.71,MPa
44530_Q7,E_dash_0_degree_celcius,28.53,MPa
44530_Q8,E_dash_0_degree_celcius,29.23,MPa
44530_Q1,E_double_dash_0_degree_celcius,8.95,MPa
44530_Q2,E_double_dash_0_degree_celcius,8.4,MPa
44530_Q3,E_double_dash_0_degree_celcius,8.71,MPa
44530_Q4,E_double_dash_0_degree_celcius,8.8,MPa
44530_Q5,E_double_dash_0_degree_celcius,9.32,MPa
44530_Q6,E_double_dash_0_degree_celcius,7.44,MPa
44530_Q7,E_double_dash_0_degree_celcius,8.03,MPa
44530_Q8,E_double_dash_0_degree_celcius,8.29,MPa
44530_Q1,E_dash_23_degree_celcius,13.69,MPa
44530_Q2,E_dash_23_degree_celcius,15.06,MPa
44530_Q3,E_dash_23_degree_celcius,16.76,MPa
44530_Q4,E_dash_23_degree_celcius,17.16,MPa
44530_Q5,E_dash_23_degree_celcius,14.46,MPa
44530_Q6,E_dash_23_degree_celcius,13.4,MPa
44530_Q7,E_dash_23_degree_celcius,15.48,MPa
44530_Q8,E_dash_23_degree_celcius,15.53,MPa
44530_Q1,E_double_dash_23_degree_celcius,2.4,MPa
44530_Q2,E_double_dash_23_degree_celcius,2.56,MPa
44530_Q3,E_double_dash_23_degree_celcius,2.75,MPa
44530_Q4,E_double_dash_23_degree_celcius,2.87,MPa
44530_Q5,E_double_dash_23_degree_celcius,2.58,MPa
44530_Q6,E_double_dash_23_degree_celcius,2.21,MPa
44530_Q7,E_double_dash_23_degree_celcius,2.53,MPa
44530_Q8,E_double_dash_23_degree_celcius,2.57,MPa
44530_Q1,E_dash_60_degree_celcius,8.28,MPa
44530_Q2,E_dash_60_degree_celcius,9.17,MPa
44530_Q3,E_dash_60_degree_celcius,10.03,MPa
44530_Q4,E_dash_60_degree_celcius,10.22,MPa
44530_Q5,E_dash_60_degree_celcius,8.53,MPa
44530_Q6,E_dash_60_degree_celcius,8.31,MPa
44530_Q7,E_dash_60_degree_celcius,9.43,MPa
44530_Q8,E_dash_60_degree_celcius,9.24,MPa
44530_Q1,E_double_dash_60_degree_celcius,0.71,MPa
44530_Q2,E_double_dash_60_degree_celcius,0.82,MPa
44530_Q3,E_double_dash_60_degree_celcius,0.87,MPa
44530_Q4,E_double_dash_60_degree_celcius,0.91,MPa
44530_Q5,E_double_dash_60_degree_celcius,0.75,MPa
44530_Q6,E_double_dash_60_degree_celcius,0.71,MPa
44530_Q7,E_double_dash_60_degree_celcius,0.82,MPa
44530_Q8,E_double_dash_60_degree_celcius,0.79,MPa
44530_Q1,tand d max,0.599,
44530_Q2,tand d max,0.586,
44530_Q3,tand d max,0.556,
44530_Q4,tand d max,0.553,
44530_Q5,tand d max,0.581,
44530_Q6,tand d max,0.619,
44530_Q7,tand d max,0.581,
44530_Q8,tand d max,0.565,
44530_Q1,Temperatur tan d max,-22.3,[°C]
44530_Q2,Temperatur tan d max,-24.2,[°C]
44530_Q3,Temperatur tan d max,-24.2,[°C]
