is_about,is_quality_measurement_of,has_specified_numeric_value,has_measurement_unit_label
42278_Q1,ML 1+1,82.73,ME
42278_Q2,ML 1+1,84.03,ME
42278_Q3,ML 1+1,62.89,ME
42278_Q4,ML 1+1,83.0,ME
42278_Q5,ML 1+1,119.27,ME
42278_Q6,ML 1+1,62.24,ME
42278_Q1,ML 1+4,69.0,ME
42278_Q2,ML 1+4,70.76,ME
42278_Q3,ML 1+4,53.34,ME
42278_Q4,ML 1+4,75.37,ME
42278_Q5,ML 1+4,99.15,ME
42278_Q6,ML 1+4,53.03,ME
42278_Q1,MSR,0.36,log(ME)/log(s)
42278_Q2,MSR,0.34,log(ME)/log(s)
42278_Q3,MSR,0.472,log(ME)/log(s)
42278_Q4,MSR,0.368,log(ME)/log(s)
42278_Q5,MSR,0.252,log(ME)/log(s)
42278_Q6,MSR,0.473,log(ME)/log(s)
42278_Q1,Umsatzzeit 90percent,1015.8,[sec]
42278_Q2,Umsatzzeit 90percent,1045.38,[sec]
42278_Q3,Umsatzzeit 90percent,1042.2,[sec]
42278_Q4,Umsatzzeit 90percent,933.78,[sec]
42278_Q5,Umsatzzeit 90percent,953.64,[sec]
42278_Q6,Umsatzzeit 90percent,1063.32,[sec]
42278_Q1,S_dash bei 90percent Umsatz,17.52,dNm
42278_Q2,S_dash bei 90percent Umsatz,17.94,dNm
42278_Q3,S_dash bei 90percent Umsatz,17.43,dNm
42278_Q4,S_dash bei 90percent Umsatz,19.89,dNm
42278_Q5,S_dash bei 90percent Umsatz,18.87,dNm
42278_Q6,S_dash bei 90percent Umsatz,17.32,dNm
42278_Q1,Massedruck_1,48.25,bar
42278_Q2,Massedruck_1,36.8,bar
42278_Q3,Massedruck_1,30.35,bar
42278_Q4,Massedruck_1,39.25,bar
42278_Q5,Massedruck_1,45.25,bar
42278_Q6,Massedruck_1,31.25,bar
42278_Q1,Massedruck_2,39.4,bar
42278_Q2,Massedruck_2,39.7,bar
42278_Q3,Massedruck_2,33.5,bar
42278_Q4,Massedruck_2,43.45,bar
42278_Q5,Massedruck_2,47.6,bar
42278_Q6,Massedruck_2,33.4,bar
42278_Q1,Massedruck_3,40.7,bar
42278_Q2,Massedruck_3,42.2,bar
42278_Q3,Massedruck_3,35.65,bar
42278_Q4,Massedruck_3,45.35,bar
42278_Q5,Massedruck_3,49.65,bar
42278_Q6,Massedruck_3,33.3,bar
42278_Q1,Quellung Hausmethode K10_1,35.24,percent
42278_Q2,Quellung Hausmethode K10_1,36.6,percent
42278_Q3,Quellung Hausmethode K10_1,23.64,percent
42278_Q4,Quellung Hausmethode K10_1,32.0,percent
42278_Q5,Quellung Hausmethode K10_1,33.39,percent
42278_Q6,Quellung Hausmethode K10_1,23.85,percent
42278_Q1,Quellung Hausmethode K10_2,36.41,percent
42278_Q2,Quellung Hausmethode K10_2,38.52,percent
42278_Q3,Quellung Hausmethode K10_2,28.86,percent
42278_Q4,Quellung Hausmethode K10_2,34.77,percent
42278_Q5,Quellung Hausmethode K10_2,32.2,percent
42278_Q6,Quellung Hausmethode K10_2,28.03,percent
42278_Q1,Quellung Hausmethode K10_3,36.41,percent
42278_Q2,Quellung Hausmethode K10_3,38.71,percent
42278_Q3,Quellung Hausmethode K10_3,31.29,percent
42278_Q4,Quellung Hausmethode K10_3,34.18,percent
42278_Q5,Quellung Hausmethode K10_3,30.18,percent
42278_Q6,Quellung Hausmethode K10_3,30.28,percent
42278_Q1,Masse pro Messzeit_1,9.9,g
42278_Q2,Masse pro Messzeit_1,9.56,g
42278_Q3,Masse pro Messzeit_1,11.24,g
42278_Q4,Masse pro Messzeit_1,9.16,g
42278_Q5,Masse pro Messzeit_1,8.24,g
42278_Q6,Masse pro Messzeit_1,11.3,g
42278_Q1,Masse pro Messzeit_2,17.36,g
42278_Q2,Masse pro Messzeit_2,16.58,g
42278_Q3,Masse pro Messzeit_2,19.0,g
42278_Q4,Masse pro Messzeit_2,16.3,g
42278_Q5,Masse pro Messzeit_2,14.88,g
