is_about,is_quality_measurement_of,has_specified_numeric_value,has_measurement_unit_label
44450_Q1,ML 1+1,94.06,ME
44450_Q2,ML 1+1,93.31,ME
44450_Q3,ML 1+1,95.57,ME
44450_Q4,ML 1+1,107.12,ME
44450_Q5,ML 1+1,91.94,ME
44450_Q6,ML 1+1,95.82,ME
44450_Q7,ML 1+1,107.48,ME
44450_Q8,ML 1+1,92.02,ME
44450_Q1,ML 1+4,83.53,ME
44450_Q2,ML 1+4,82.63,ME
44450_Q3,ML 1+4,85.11,ME
44450_Q4,ML 1+4,85.22,ME
44450_Q5,ML 1+4,81.0,ME
44450_Q6,ML 1+4,85.19,ME
44450_Q7,ML 1+4,84.81,ME
44450_Q8,ML 1+4,80.98,ME
44450_Q1,MSR,0.402,log(ME)/log(s)
44450_Q2,MSR,0.443,log(ME)/log(s)
44450_Q3,MSR,0.443,log(ME)/log(s)
44450_Q4,MSR,0.372,log(ME)/log(s)
44450_Q5,MSR,0.424,log(ME)/log(s)
44450_Q6,MSR,0.445,log(ME)/log(s)
44450_Q7,MSR,0.378,log(ME)/log(s)
44450_Q8,MSR,0.451,log(ME)/log(s)
44450_Q1,Umsatzzeit 90percent,1211.28,[sec]
44450_Q2,Umsatzzeit 90percent,752.46,[sec]
44450_Q3,Umsatzzeit 90percent,839.16,[sec]
44450_Q4,Umsatzzeit 90percent,769.41,[sec]
44450_Q5,Umsatzzeit 90percent,897.3,[sec]
44450_Q6,Umsatzzeit 90percent,791.25,[sec]
44450_Q7,Umsatzzeit 90percent,757.56,[sec]
44450_Q8,Umsatzzeit 90percent,733.71,[sec]
44450_Q1,S_dash bei 90percent Umsatz,16.71,dNm
44450_Q2,S_dash bei 90percent Umsatz,17.48,dNm
44450_Q3,S_dash bei 90percent Umsatz,17.65,dNm
44450_Q4,S_dash bei 90percent Umsatz,18.03,dNm
44450_Q5,S_dash bei 90percent Umsatz,17.55,dNm
44450_Q6,S_dash bei 90percent Umsatz,18.25,dNm
44450_Q7,S_dash bei 90percent Umsatz,18.3,dNm
44450_Q8,S_dash bei 90percent Umsatz,18.28,dNm
44450_Q1,Hardness_mean_value,63.7,Shore A
44450_Q2,Hardness_mean_value,62.8,Shore A
44450_Q3,Hardness_mean_value,63.33,Shore A
44450_Q4,Hardness_mean_value,63.63,Shore A
44450_Q5,Hardness_mean_value,62.8,Shore A
44450_Q6,Hardness_mean_value,63.3,Shore A
44450_Q7,Hardness_mean_value,62.33,Shore A
44450_Q8,Hardness_mean_value,61.8,Shore A
44450_Q1,Rebound_mean_value_1,39.6,percent
44450_Q2,Rebound_mean_value_1,40.2,percent
44450_Q3,Rebound_mean_value_1,40.07,percent
44450_Q4,Rebound_mean_value_1,39.53,percent
44450_Q5,Rebound_mean_value_1,40.0,percent
44450_Q6,Rebound_mean_value_1,40.6,percent
44450_Q7,Rebound_mean_value_1,39.8,percent
44450_Q8,Rebound_mean_value_1,39.53,percent
44450_Q1,Rebound_mean_value_2,63.5,percent
44450_Q2,Rebound_mean_value_2,63.5,percent
44450_Q3,Rebound_mean_value_2,62.5,percent
44450_Q4,Rebound_mean_value_2,62.5,percent
44450_Q5,Rebound_mean_value_2,62.5,percent
44450_Q6,Rebound_mean_value_2,63.0,percent
44450_Q7,Rebound_mean_value_2,62.0,percent
44450_Q8,Rebound_mean_value_2,61.5,percent
44450_Q1,Rebound_mean_value_3,67.0,percent
44450_Q2,Rebound_mean_value_3,65.0,percent
44450_Q3,Rebound_mean_value_3,65.5,percent
44450_Q4,Rebound_mean_value_3,65.5,percent
44450_Q5,Rebound_mean_value_3,65.5,percent
44450_Q6,Rebound_mean_value_3,64.5,percent
44450_Q7,Rebound_mean_value_3,66.5,percent
44450_Q8,Rebound_mean_value_3,64.5,percent
44450_Q1,S50,1.4,MPa
44450_Q2,S50,1.4,MPa
44450_Q3,S50,1.5,MPa
44450_Q4,S50,1.4,MPa
44450_Q5,S50,1.4,MPa
44450_Q6,S50,1.5,MPa
44450_Q7,S50,1.4,MPa
44450_Q8,S50,1.4,MPa
44450_Q1,S100,2.5,MPa
44450_Q2,S100,2.5,MPa
44450_Q3,S100,2.5,MPa
44450_Q4,S100,2.5,MPa
44450_Q5,S100,2.4,MPa
44450_Q6,S100,2.5,MPa
44450_Q7,S100,2.4,MPa
44450_Q8,S100,2.5,MPa
44450_Q1,S300,14.0,MPa
44450_Q2,S300,13.7,MPa
44450_Q3,S300,12.7,MPa
44450_Q4,S300,13.6,MPa
44450_Q5,S300,13.0,MPa
44450_Q6,S300,13.6,MPa
44450_Q7,S300,14.0,MPa
44450_Q8,S300,13.2,MPa
44450_Q1,D Median,421.0,percent
44450_Q2,D Median,406.0,percent
44450_Q3,D Median,429.0,percent
44450_Q4,D Median,410.0,percent
44450_Q5,D Median,442.0,percent
44450_Q6,D Median,408.0,percent
44450_Q7,D Median,423.0,percent
44450_Q8,D Median,401.0,percent
44450_Q1,F Median,22.2,MPa
44450_Q2,F Median,21.0,MPa
44450_Q3,F Median,21.0,MPa
44450_Q4,F Median,21.2,MPa
44450_Q5,F Median,22.1,MPa
44450_Q6,F Median,20.8,MPa
44450_Q7,F Median,22.7,MPa
44450_Q8,F Median,19.7,MPa
44450_Q1,E_dash_0_degree_celcius,30.28,MPa
44450_Q2,E_dash_0_degree_celcius,25.14,MPa
44450_Q3,E_dash_0_degree_celcius,25.25,MPa
44450_Q4,E_dash_0_degree_celcius,18.98,MPa
44450_Q5,E_dash_0_degree_celcius,25.32,MPa
44450_Q6,E_dash_0_degree_celcius,29.64,MPa
44450_Q7,E_dash_0_degree_celcius,17.9,MPa
44450_Q8,E_dash_0_degree_celcius,27.69,MPa
44450_Q1,E_double_dash_0_degree_celcius,8.2,MPa
44450_Q2,E_double_dash_0_degree_celcius,7.05,MPa
44450_Q3,E_double_dash_0_degree_celcius,7.16,MPa
44450_Q4,E_double_dash_0_degree_celcius,5.71,MPa
44450_Q5,E_double_dash_0_degree_celcius,6.8,MPa
44450_Q6,E_double_dash_0_degree_celcius,7.81,MPa
44450_Q7,E_double_dash_0_degree_celcius,5.36,MPa
44450_Q8,E_double_dash_0_degree_celcius,7.7,MPa
44450_Q1,E_dash_23_degree_celcius,17.54,MPa
44450_Q2,E_dash_23_degree_celcius,14.64,MPa
44450_Q3,E_dash_23_degree_celcius,14.76,MPa
44450_Q4,E_dash_23_degree_celcius,11.1,MPa
44450_Q5,E_dash_23_degree_celcius,14.62,MPa
44450_Q6,E_dash_23_degree_celcius,17.32,MPa
44450_Q7,E_dash_23_degree_celcius,10.54,MPa
44450_Q8,E_dash_23_degree_celcius,16.01,MPa
44450_Q1,E_double_dash_23_degree_celcius,2.82,MPa
44450_Q2,E_double_dash_23_degree_celcius,2.23,MPa
44450_Q3,E_double_dash_23_degree_celcius,2.26,MPa
44450_Q4,E_double_dash_23_degree_celcius,1.66,MPa
44450_Q5,E_double_dash_23_degree_celcius,2.25,MPa
44450_Q6,E_double_dash_23_degree_celcius,2.68,MPa
44450_Q7,E_double_dash_23_degree_celcius,1.52,MPa
44450_Q8,E_double_dash_23_degree_celcius,2.53,MPa
44450_Q1,E_dash_60_degree_celcius,10.85,MPa
44450_Q2,E_dash_60_degree_celcius,9.41,MPa
