is_about,is_quality_measurement_of,has_specified_numeric_value,has_measurement_unit_label
43434_Q1,ML 1+1,80.09,ME
43434_Q2,ML 1+1,76.48,ME
43434_Q3,ML 1+1,78.02,ME
43434_Q4,ML 1+1,77.8,ME
43434_Q5,ML 1+1,78.72,ME
43434_Q6,ML 1+1,79.17,ME
43434_Q7,ML 1+1,79.66,ME
43434_Q8,ML 1+1,81.49,ME
43434_Q1,ML 1+4,67.66,ME
43434_Q2,ML 1+4,64.98,ME
43434_Q3,ML 1+4,65.7,ME
43434_Q4,ML 1+4,65.13,ME
43434_Q5,ML 1+4,65.84,ME
43434_Q6,ML 1+4,65.63,ME
43434_Q7,ML 1+4,66.63,ME
43434_Q8,ML 1+4,67.75,ME
43434_Q1,MSR,0.362,log(ME)/log(s)
43434_Q2,MSR,0.374,log(ME)/log(s)
43434_Q3,MSR,0.371,log(ME)/log(s)
43434_Q4,MSR,0.372,log(ME)/log(s)
43434_Q5,MSR,0.367,log(ME)/log(s)
43434_Q6,MSR,0.367,log(ME)/log(s)
43434_Q7,MSR,0.364,log(ME)/log(s)
43434_Q8,MSR,0.359,log(ME)/log(s)
43434_Q1,Umsatzzeit 90percent,1051.59,[sec]
43434_Q2,Umsatzzeit 90percent,1009.86,[sec]
43434_Q3,Umsatzzeit 90percent,990.36,[sec]
43434_Q4,Umsatzzeit 90percent,984.84,[sec]
43434_Q5,Umsatzzeit 90percent,1030.2,[sec]
43434_Q6,Umsatzzeit 90percent,1030.68,[sec]
43434_Q7,Umsatzzeit 90percent,1197.72,[sec]
43434_Q8,Umsatzzeit 90percent,963.54,[sec]
43434_Q1,S_dash bei 90percent Umsatz,16.54,dNm
43434_Q2,S_dash bei 90percent Umsatz,16.74,dNm
43434_Q3,S_dash bei 90percent Umsatz,16.93,dNm
43434_Q4,S_dash bei 90percent Umsatz,16.76,dNm
43434_Q5,S_dash bei 90percent Umsatz,17.14,dNm
43434_Q6,S_dash bei 90percent Umsatz,16.59,dNm
43434_Q7,S_dash bei 90percent Umsatz,16.24,dNm
43434_Q8,S_dash bei 90percent Umsatz,17.06,dNm
43434_Q1,Hardness_mean_value,64.47,Shore A
43434_Q2,Hardness_mean_value,63.77,Shore A
43434_Q3,Hardness_mean_value,63.5,Shore A
43434_Q4,Hardness_mean_value,64.67,Shore A
43434_Q5,Hardness_mean_value,64.3,Shore A
43434_Q6,Hardness_mean_value,63.6,Shore A
43434_Q7,Hardness_mean_value,63.37,Shore A
43434_Q8,Hardness_mean_value,63.43,Shore A
43434_Q1,Rebound_mean_value_1,36.6,percent
43434_Q2,Rebound_mean_value_1,35.8,percent
43434_Q3,Rebound_mean_value_1,34.93,percent
43434_Q4,Rebound_mean_value_1,35.67,percent
43434_Q5,Rebound_mean_value_1,35.4,percent
43434_Q6,Rebound_mean_value_1,35.8,percent
