is_about,is_quality_measurement_of,has_specified_numeric_value,has_measurement_unit_label
42777_Q1,ML 1+1,76.64,ME
42777_Q2,ML 1+1,118.15,ME
42777_Q3,ML 1+1,113.59,ME
42777_Q4,ML 1+1,109.41,ME
42777_Q5,ML 1+1,76.93,ME
42777_Q6,ML 1+1,106.97,ME
42777_Q7,ML 1+1,92.31,ME
42777_Q8,ML 1+1,107.16,ME
42777_Q1,ML 1+4,68.48,ME
42777_Q2,ML 1+4,93.69,ME
42777_Q3,ML 1+4,91.45,ME
42777_Q4,ML 1+4,88.23,ME
42777_Q5,ML 1+4,68.45,ME
42777_Q6,ML 1+4,88.74,ME
42777_Q7,ML 1+4,79.14,ME
42777_Q8,ML 1+4,88.51,ME
42777_Q1,MSR,0.441,log(ME)/log(s)
42777_Q2,MSR,0.302,log(ME)/log(s)
42777_Q3,MSR,0.312,log(ME)/log(s)
42777_Q4,MSR,0.321,log(ME)/log(s)
42777_Q5,MSR,0.438,log(ME)/log(s)
42777_Q6,MSR,0.341,log(ME)/log(s)
42777_Q7,MSR,0.369,log(ME)/log(s)
42777_Q8,MSR,0.316,log(ME)/log(s)
42777_Q1,Umsatzzeit 90percent,1142.34,[sec]
42777_Q2,Umsatzzeit 90percent,1119.06,[sec]
42777_Q3,Umsatzzeit 90percent,1153.68,[sec]
42777_Q4,Umsatzzeit 90percent,1150.62,[sec]
42777_Q5,Umsatzzeit 90percent,1115.36,[sec]
42777_Q6,Umsatzzeit 90percent,1133.13,[sec]
42777_Q7,Umsatzzeit 90percent,1151.39,[sec]
42777_Q8,Umsatzzeit 90percent,1107.06,[sec]
42777_Q1,S_dash bei 90percent Umsatz,18.95,dNm
42777_Q2,S_dash bei 90percent Umsatz,18.53,dNm
42777_Q3,S_dash bei 90percent Umsatz,18.59,dNm
42777_Q4,S_dash bei 90percent Umsatz,18.11,dNm
42777_Q5,S_dash bei 90percent Umsatz,18.99,dNm
42777_Q6,S_dash bei 90percent Umsatz,18.56,dNm
42777_Q7,S_dash bei 90percent Umsatz,17.63,dNm
42777_Q8,S_dash bei 90percent Umsatz,18.29,dNm
42777_Q1,Massedruck_1,36.5,bar
42777_Q2,Massedruck_1,44.2,bar
42777_Q3,Massedruck_1,44.05,bar
42777_Q4,Massedruck_1,43.1,bar
42777_Q5,Massedruck_1,36.45,bar
42777_Q6,Massedruck_1,43.2,bar
42777_Q7,Massedruck_1,39.6,bar
42777_Q8,Massedruck_1,44.6,bar
42777_Q1,Massedruck_2,46.15,bar
42777_Q2,Massedruck_2,52.2,bar
42777_Q3,Massedruck_2,52.65,bar
42777_Q4,Massedruck_2,50.45,bar
42777_Q5,Massedruck_2,45.9,bar
42777_Q6,Massedruck_2,51.55,bar
42777_Q7,Massedruck_2,47.25,bar
42777_Q8,Massedruck_2,52.55,bar
42777_Q1,Quellung Hausmethode K10_1,47.3,percent
42777_Q2,Quellung Hausmethode K10_1,36.59,percent
42777_Q3,Quellung Hausmethode K10_1,35.82,percent
42777_Q4,Quellung Hausmethode K10_1,36.97,percent
42777_Q5,Quellung Hausmethode K10_1,44.97,percent
42777_Q6,Quellung Hausmethode K10_1,31.11,percent
42777_Q7,Quellung Hausmethode K10_1,36.59,percent
