is_about,is_quality_measurement_of,has_specified_numeric_value,has_measurement_unit_label
41853_Q1,ML 1+1,156.74,ME
41853_Q2,ML 1+1,156.84,ME
41853_Q3,ML 1+1,140.3,ME
41853_Q4,ML 1+1,111.2,ME
41853_Q5,ML 1+1,151.66,ME
41853_Q6,ML 1+1,152.1,ME
41853_Q7,ML 1+1,155.57,ME
41853_Q1,ML 1+4,135.38,ME
41853_Q2,ML 1+4,134.56,ME
41853_Q3,ML 1+4,110.78,ME
41853_Q4,ML 1+4,90.81,ME
41853_Q5,ML 1+4,130.03,ME
41853_Q6,ML 1+4,131.87,ME
41853_Q7,ML 1+4,132.53,ME
41853_Q1,MSR,0.212,log(ME)/log(s)
41853_Q2,MSR,0.211,log(ME)/log(s)
41853_Q3,MSR,0.297,log(ME)/log(s)
41853_Q4,MSR,0.351,log(ME)/log(s)
41853_Q5,MSR,0.212,log(ME)/log(s)
41853_Q6,MSR,0.216,log(ME)/log(s)
41853_Q7,MSR,0.222,log(ME)/log(s)
41853_Q1,Umsatzzeit 90percent,1019.52,[sec]
41853_Q2,Umsatzzeit 90percent,1040.28,[sec]
41853_Q3,Umsatzzeit 90percent,921.78,[sec]
41853_Q4,Umsatzzeit 90percent,1110.18,[sec]
41853_Q5,Umsatzzeit 90percent,1023.48,[sec]
41853_Q6,Umsatzzeit 90percent,1045.44,[sec]
41853_Q7,Umsatzzeit 90percent,958.62,[sec]
41853_Q1,S_dash bei 90percent Umsatz,19.61,dNm
41853_Q2,S_dash bei 90percent Umsatz,19.79,dNm
41853_Q3,S_dash bei 90percent Umsatz,19.84,dNm
41853_Q4,S_dash bei 90percent Umsatz,20.57,dNm
41853_Q5,S_dash bei 90percent Umsatz,20.02,dNm
41853_Q6,S_dash bei 90percent Umsatz,20.09,dNm
41853_Q7,S_dash bei 90percent Umsatz,19.75,dNm
41853_Q1,Massedruck_1,59.2,bar
41853_Q2,Massedruck_1,60.8,bar
41853_Q3,Massedruck_1,56.75,bar
