is_about,is_quality_measurement_of,has_specified_numeric_value,has_measurement_unit_label
44758_Q7,E_dash_0_degree_celcius,42.55,MPa
44758_Q8,E_dash_0_degree_celcius,34.46,MPa
44758_Q1,E_double_dash_0_degree_celcius,10.33,MPa
44758_Q2,E_double_dash_0_degree_celcius,11.38,MPa
44758_Q3,E_double_dash_0_degree_celcius,10.52,MPa
44758_Q4,E_double_dash_0_degree_celcius,9.84,MPa
44758_Q5,E_double_dash_0_degree_celcius,10.79,MPa
44758_Q6,E_double_dash_0_degree_celcius,11.78,MPa
44758_Q7,E_double_dash_0_degree_celcius,12.14,MPa
44758_Q8,E_double_dash_0_degree_celcius,9.94,MPa
44758_Q1,E_dash_23_degree_celcius,20.97,MPa
44758_Q2,E_dash_23_degree_celcius,22.56,MPa
44758_Q3,E_dash_23_degree_celcius,16.71,MPa
44758_Q4,E_dash_23_degree_celcius,17.3,MPa
44758_Q5,E_dash_23_degree_celcius,18.99,MPa
44758_Q6,E_dash_23_degree_celcius,19.49,MPa
44758_Q7,E_dash_23_degree_celcius,23.7,MPa
44758_Q8,E_dash_23_degree_celcius,19.25,MPa
44758_Q1,E_double_dash_23_degree_celcius,3.61,MPa
44758_Q2,E_double_dash_23_degree_celcius,3.77,MPa
44758_Q3,E_double_dash_23_degree_celcius,2.98,MPa
44758_Q4,E_double_dash_23_degree_celcius,2.87,MPa
44758_Q5,E_double_dash_23_degree_celcius,3.37,MPa
44758_Q6,E_double_dash_23_degree_celcius,3.2,MPa
44758_Q7,E_double_dash_23_degree_celcius,4.11,MPa
44758_Q8,E_double_dash_23_degree_celcius,3.33,MPa
44758_Q1,E_dash_60_degree_celcius,12.6,MPa
44758_Q2,E_dash_60_degree_celcius,13.55,MPa
44758_Q3,E_dash_60_degree_celcius,9.94,MPa
44758_Q4,E_dash_60_degree_celcius,10.64,MPa
44758_Q5,E_dash_60_degree_celcius,11.24,MPa
44758_Q6,E_dash_60_degree_celcius,11.87,MPa
44758_Q7,E_dash_60_degree_celcius,13.91,MPa
44758_Q8,E_dash_60_degree_celcius,11.74,MPa
44758_Q1,E_double_dash_60_degree_celcius,1.37,MPa
44758_Q2,E_double_dash_60_degree_celcius,1.34,MPa
44758_Q3,E_double_dash_60_degree_celcius,0.94,MPa
44758_Q4,E_double_dash_60_degree_celcius,0.86,MPa
44758_Q5,E_double_dash_60_degree_celcius,1.15,MPa
44758_Q6,E_double_dash_60_degree_celcius,0.99,MPa
44758_Q7,E_double_dash_60_degree_celcius,1.48,MPa
44758_Q8,E_double_dash_60_degree_celcius,1.2,MPa
44758_Q1,tand d max,0.563,
44758_Q2,tand d max,0.542,
44758_Q3,tand d max,0.592,
44758_Q4,tand d max,0.571,
44758_Q5,tand d max,0.56,
44758_Q6,tand d max,0.575,
44758_Q7,tand d max,0.544,
44758_Q8,tand d max,0.58,
44758_Q1,Temperatur tan d max,-24.3,[°C]
44758_Q2,Temperatur tan d max,-22.3,[°C]
44758_Q3,Temperatur tan d max,-19.3,[°C]
44758_Q4,Temperatur tan d max,-20.2,[°C]
44758_Q5,Temperatur tan d max,-21.2,[°C]
44758_Q6,Temperatur tan d max,-19.2,[°C]
44758_Q7,Temperatur tan d max,-22.3,[°C]
44758_Q8,Temperatur tan d max,-23.2,[°C]
44758_Q1,ElasticModulus_G_dash_zero_point_five_percent_1_Messung,3.4,MPa
44758_Q2,ElasticModulus_G_dash_zero_point_five_percent_1_Messung,3.29,MPa
44758_Q3,ElasticModulus_G_dash_zero_point_five_percent_1_Messung,3.26,MPa
44758_Q4,ElasticModulus_G_dash_zero_point_five_percent_1_Messung,2.92,MPa
44758_Q5,ElasticModulus_G_dash_zero_point_five_percent_1_Messung,2.95,MPa
44758_Q6,ElasticModulus_G_dash_zero_point_five_percent_1_Messung,3.27,MPa
44758_Q7,ElasticModulus_G_dash_zero_point_five_percent_1_Messung,2.92,MPa
44758_Q8,ElasticModulus_G_dash_zero_point_five_percent_1_Messung,3.47,MPa
44758_Q1,ElasticModulus_G_dash_15_percent_1_Messung,1.44,MPa
44758_Q2,ElasticModulus_G_dash_15_percent_1_Messung,1.46,MPa
44758_Q3,ElasticModulus_G_dash_15_percent_1_Messung,1.45,MPa
44758_Q4,ElasticModulus_G_dash_15_percent_1_Messung,1.36,MPa
44758_Q5,ElasticModulus_G_dash_15_percent_1_Messung,1.4,MPa
44758_Q6,ElasticModulus_G_dash_15_percent_1_Messung,1.46,MPa
44758_Q7,ElasticModulus_G_dash_15_percent_1_Messung,1.34,MPa
44758_Q8,ElasticModulus_G_dash_15_percent_1_Messung,1.44,MPa
44758_Q1,tan_d_7_percent_1_Messung,0.169,
44758_Q2,tan_d_7_percent_1_Messung,0.164,
44758_Q3,tan_d_7_percent_1_Messung,0.152,
44758_Q4,tan_d_7_percent_1_Messung,0.151,
44758_Q5,tan_d_7_percent_1_Messung,0.153,
44758_Q6,tan_d_7_percent_1_Messung,0.159,
44758_Q7,tan_d_7_percent_1_Messung,0.16,
44758_Q8,tan_d_7_percent_1_Messung,0.174,
44758_Q1,LossModulus_Gdouble_dash(max),0.38,MPa
44758_Q2,LossModulus_Gdouble_dash(max),0.36,MPa
44758_Q3,LossModulus_Gdouble_dash(max),0.34,MPa
44758_Q4,LossModulus_Gdouble_dash(max),0.3,MPa
44758_Q5,LossModulus_Gdouble_dash(max),0.32,MPa
44758_Q6,LossModulus_Gdouble_dash(max),0.37,MPa
44758_Q7,LossModulus_Gdouble_dash(max),0.32,MPa
44758_Q8,LossModulus_Gdouble_dash(max),0.42,MPa
