is_about,is_quality_measurement_of,has_specified_numeric_value,has_measurement_unit_label
43258_Q1,ML 1+1,59.74,ME
43258_Q2,ML 1+1,66.7,ME
43258_Q3,ML 1+1,78.91,ME
43258_Q4,ML 1+1,75.88,ME
43258_Q5,ML 1+1,60.12,ME
43258_Q6,ML 1+1,75.22,ME
43258_Q7,ML 1+1,69.54,ME
43258_Q8,ML 1+1,70.8,ME
43258_Q1,ML 1+4,50.81,ME
43258_Q2,ML 1+4,55.03,ME
43258_Q3,ML 1+4,66.54,ME
43258_Q4,ML 1+4,63.4,ME
43258_Q5,ML 1+4,51.02,ME
43258_Q6,ML 1+4,63.07,ME
43258_Q7,ML 1+4,58.13,ME
43258_Q8,ML 1+4,59.24,ME
43258_Q1,MSR,0.497,log(ME)/log(s)
43258_Q2,MSR,0.483,log(ME)/log(s)
43258_Q3,MSR,0.436,log(ME)/log(s)
43258_Q4,MSR,0.447,log(ME)/log(s)
43258_Q5,MSR,0.504,log(ME)/log(s)
43258_Q6,MSR,0.428,log(ME)/log(s)
43258_Q7,MSR,0.466,log(ME)/log(s)
43258_Q8,MSR,0.453,log(ME)/log(s)
43258_Q1,Umsatzzeit 90percent,997.14,[sec]
43258_Q2,Umsatzzeit 90percent,970.62,[sec]
43258_Q3,Umsatzzeit 90percent,924.0,[sec]
43258_Q4,Umsatzzeit 90percent,950.97,[sec]
43258_Q5,Umsatzzeit 90percent,981.06,[sec]
43258_Q6,Umsatzzeit 90percent,987.6,[sec]
43258_Q7,Umsatzzeit 90percent,957.78,[sec]
43258_Q8,Umsatzzeit 90percent,941.46,[sec]
43258_Q1,S_dash bei 90percent Umsatz,17.73,dNm
43258_Q2,S_dash bei 90percent Umsatz,17.94,dNm
43258_Q3,S_dash bei 90percent Umsatz,18.07,dNm
43258_Q4,S_dash bei 90percent Umsatz,17.54,dNm
43258_Q5,S_dash bei 90percent Umsatz,18.14,dNm
43258_Q6,S_dash bei 90percent Umsatz,17.36,dNm
43258_Q7,S_dash bei 90percent Umsatz,17.94,dNm
43258_Q8,S_dash bei 90percent Umsatz,17.51,dNm
43258_Q1,Hardness_mean_value,65.3,Shore A
43258_Q2,Hardness_mean_value,64.46,Shore A
43258_Q3,Hardness_mean_value,65.27,Shore A
43258_Q4,Hardness_mean_value,64.27,Shore A
43258_Q5,Hardness_mean_value,66.13,Shore A
43258_Q6,Hardness_mean_value,64.93,Shore A
43258_Q7,Hardness_mean_value,65.5,Shore A
43258_Q8,Hardness_mean_value,64.27,Shore A
43258_Q1,Rebound_mean_value_1,38.0,percent
43258_Q2,Rebound_mean_value_1,38.27,percent
43258_Q3,Rebound_mean_value_1,39.0,percent
43258_Q4,Rebound_mean_value_1,40.0,percent
43258_Q5,Rebound_mean_value_1,37.33,percent
43258_Q6,Rebound_mean_value_1,39.8,percent
43258_Q7,Rebound_mean_value_1,40.73,percent
