is_about,is_quality_measurement_of,has_specified_numeric_value,has_measurement_unit_label
41851_Q1,ML 1+1,153.1,ME
41851_Q2,ML 1+1,98.12,ME
41851_Q3,ML 1+1,148.04,ME
41851_Q4,ML 1+1,143.31,ME
41851_Q5,ML 1+1,155.69,ME
41851_Q6,ML 1+1,141.78,ME
41851_Q7,ML 1+1,148.51,ME
41851_Q8,ML 1+1,151.39,ME
41851_Q1,ML 1+4,131.79,ME
41851_Q2,ML 1+4,82.43,ME
41851_Q3,ML 1+4,122.52,ME
41851_Q4,ML 1+4,114.75,ME
41851_Q5,ML 1+4,134.84,ME
41851_Q6,ML 1+4,112.91,ME
41851_Q7,ML 1+4,129.77,ME
41851_Q8,ML 1+4,127.71,ME
41851_Q1,MSR,0.223,log(ME)/log(s)
41851_Q2,MSR,0.361,log(ME)/log(s)
41851_Q3,MSR,0.227,log(ME)/log(s)
41851_Q4,MSR,0.249,log(ME)/log(s)
41851_Q5,MSR,0.216,log(ME)/log(s)
41851_Q6,MSR,0.264,log(ME)/log(s)
41851_Q7,MSR,0.231,log(ME)/log(s)
41851_Q8,MSR,0.234,log(ME)/log(s)
41851_Q1,Umsatzzeit 90percent,1179.66,[sec]
41851_Q2,Umsatzzeit 90percent,1086.42,[sec]
41851_Q3,Umsatzzeit 90percent,1042.44,[sec]
41851_Q4,Umsatzzeit 90percent,1023.46,[sec]
41851_Q5,Umsatzzeit 90percent,1125.0,[sec]
41851_Q6,Umsatzzeit 90percent,965.31,[sec]
41851_Q7,Umsatzzeit 90percent,981.9,[sec]
41851_Q8,Umsatzzeit 90percent,896.24,[sec]
41851_Q1,S_dash bei 90percent Umsatz,19.19,dNm
41851_Q2,S_dash bei 90percent Umsatz,18.89,dNm
41851_Q3,S_dash bei 90percent Umsatz,19.16,dNm
41851_Q4,S_dash bei 90percent Umsatz,18.3,dNm
41851_Q5,S_dash bei 90percent Umsatz,19.37,dNm
41851_Q6,S_dash bei 90percent Umsatz,19.33,dNm
41851_Q7,S_dash bei 90percent Umsatz,20.43,dNm
41851_Q8,S_dash bei 90percent Umsatz,18.79,dNm
41851_Q1,Massedruck_1,62.55,bar
41851_Q2,Massedruck_1,50.05,bar
41851_Q3,Massedruck_1,61.15,bar
41851_Q4,Massedruck_1,59.15,bar
41851_Q5,Massedruck_1,63.2,bar
41851_Q6,Massedruck_1,61.65,bar
41851_Q7,Massedruck_1,65.9,bar
41851_Q8,Massedruck_1,60.65,bar
41851_Q1,Massedruck_2,64.7,bar
41851_Q2,Massedruck_2,0.0,bar
41851_Q3,Massedruck_2,63.9,bar
41851_Q4,Massedruck_2,59.45,bar
41851_Q5,Massedruck_2,67.3,bar
41851_Q6,Massedruck_2,64.75,bar
41851_Q7,Massedruck_2,69.6,bar
41851_Q8,Massedruck_2,64.85,bar
41851_Q1,Quellung Hausmethode K10_1,26.17,percent
41851_Q2,Quellung Hausmethode K10_1,29.07,percent
41851_Q3,Quellung Hausmethode K10_1,24.06,percent
41851_Q4,Quellung Hausmethode K10_1,22.98,percent
41851_Q5,Quellung Hausmethode K10_1,25.96,percent
41851_Q6,Quellung Hausmethode K10_1,22.98,percent
41851_Q7,Quellung Hausmethode K10_1,24.06,percent
41851_Q8,Quellung Hausmethode K10_1,27.0,percent
41851_Q1,Quellung Hausmethode K10_2,30.7,percent
41851_Q2,Quellung Hausmethode K10_2,33.3,percent
41851_Q3,Quellung Hausmethode K10_2,29.07,percent
41851_Q4,Quellung Hausmethode K10_2,27.0,percent
41851_Q5,Quellung Hausmethode K10_2,29.07,percent
41851_Q6,Quellung Hausmethode K10_2,24.69,percent
41851_Q7,Quellung Hausmethode K10_2,27.21,percent
41851_Q8,Quellung Hausmethode K10_2,30.5,percent
41851_Q1,Masse pro Messzeit_1,9.16,g
41851_Q2,Masse pro Messzeit_1,10.65,g
41851_Q3,Masse pro Messzeit_1,8.54,g
41851_Q4,Masse pro Messzeit_1,8.85,g
41851_Q5,Masse pro Messzeit_1,7.11,g
41851_Q6,Masse pro Messzeit_1,7.72,g
41851_Q7,Masse pro Messzeit_1,6.32,g
41851_Q8,Masse pro Messzeit_1,6.14,g
41851_Q1,Masse pro Messzeit_2,9.05,g
41851_Q2,Masse pro Messzeit_2,11.13,g
41851_Q3,Masse pro Messzeit_2,9.24,g
41851_Q4,Masse pro Messzeit_2,9.38,g
41851_Q5,Masse pro Messzeit_2,8.43,g
41851_Q6,Masse pro Messzeit_2,9.13,g
41851_Q7,Masse pro Messzeit_2,8.32,g
41851_Q8,Masse pro Messzeit_2,8.4,g
41851_Q1,Hardness_mean_value,66.67,Shore A
41851_Q2,Hardness_mean_value,65.67,Shore A
41851_Q3,Hardness_mean_value,65.6,Shore A
41851_Q4,Hardness_mean_value,64.43,Shore A
41851_Q5,Hardness_mean_value,65.37,Shore A
41851_Q6,Hardness_mean_value,65.8,Shore A
41851_Q7,Hardness_mean_value,67.33,Shore A
41851_Q8,Hardness_mean_value,64.77,Shore A
41851_Q1,Rebound_mean_value_1,39.2,percent
41851_Q2,Rebound_mean_value_1,35.8,percent
41851_Q3,Rebound_mean_value_1,39.27,percent
41851_Q4,Rebound_mean_value_1,38.8,percent
41851_Q5,Rebound_mean_value_1,39.8,percent
41851_Q6,Rebound_mean_value_1,37.6,percent
41851_Q7,Rebound_mean_value_1,38.73,percent
41851_Q8,Rebound_mean_value_1,39.4,percent
41851_Q1,Rebound_mean_value_2,62.5,percent
41851_Q2,Rebound_mean_value_2,56.0,percent
41851_Q3,Rebound_mean_value_2,62.5,percent
41851_Q4,Rebound_mean_value_2,62.5,percent
