is_about,is_quality_measurement_of,has_specified_numeric_value,has_measurement_unit_label
43127_Q1,ML 1+1,62.3,ME
43127_Q2,ML 1+1,79.86,ME
43127_Q3,ML 1+1,71.2,ME
43127_Q4,ML 1+1,72.72,ME
43127_Q5,ML 1+1,61.84,ME
43127_Q6,ML 1+1,70.65,ME
43127_Q7,ML 1+1,71.79,ME
43127_Q8,ML 1+1,77.8,ME
43127_Q1,ML 1+4,53.14,ME
43127_Q2,ML 1+4,66.88,ME
43127_Q3,ML 1+4,61.61,ME
43127_Q4,ML 1+4,64.13,ME
43127_Q5,ML 1+4,52.95,ME
43127_Q6,ML 1+4,62.09,ME
43127_Q7,ML 1+4,62.65,ME
43127_Q8,ML 1+4,65.52,ME
43127_Q1,MSR,0.555,log(ME)/log(s)
43127_Q2,MSR,0.433,log(ME)/log(s)
43127_Q3,MSR,0.482,log(ME)/log(s)
43127_Q4,MSR,0.438,log(ME)/log(s)
43127_Q5,MSR,0.553,log(ME)/log(s)
43127_Q6,MSR,0.45,log(ME)/log(s)
43127_Q7,MSR,0.481,log(ME)/log(s)
43127_Q8,MSR,0.43,log(ME)/log(s)
43127_Q1,Umsatzzeit 90percent,809.88,[sec]
43127_Q2,Umsatzzeit 90percent,799.05,[sec]
43127_Q3,Umsatzzeit 90percent,824.04,[sec]
43127_Q4,Umsatzzeit 90percent,801.3,[sec]
43127_Q5,Umsatzzeit 90percent,798.54,[sec]
43127_Q6,Umsatzzeit 90percent,833.28,[sec]
43127_Q7,Umsatzzeit 90percent,833.22,[sec]
43127_Q8,Umsatzzeit 90percent,807.42,[sec]
43127_Q1,S_dash bei 90percent Umsatz,18.97,dNm
43127_Q2,S_dash bei 90percent Umsatz,17.47,dNm
43127_Q3,S_dash bei 90percent Umsatz,17.88,dNm
43127_Q4,S_dash bei 90percent Umsatz,17.9,dNm
43127_Q5,S_dash bei 90percent Umsatz,19.14,dNm
43127_Q6,S_dash bei 90percent Umsatz,17.75,dNm
43127_Q7,S_dash bei 90percent Umsatz,18.02,dNm
43127_Q8,S_dash bei 90percent Umsatz,17.85,dNm
43127_Q1,Massedruck_1,23.65,bar
43127_Q2,Massedruck_1,30.9,bar
43127_Q3,Massedruck_1,27.25,bar
43127_Q4,Massedruck_1,29.0,bar
43127_Q5,Massedruck_1,23.2,bar
43127_Q6,Massedruck_1,28.7,bar
43127_Q7,Massedruck_1,28.3,bar
43127_Q8,Massedruck_1,30.7,bar
43127_Q1,Massedruck_2,35.2,bar
43127_Q2,Massedruck_2,39.65,bar
