is_about,is_quality_measurement_of,has_specified_numeric_value,has_measurement_unit_label
44756_Q1,ML 1+1,88.49,ME
44756_Q2,ML 1+1,114.63,ME
44756_Q3,ML 1+1,122.03,ME
44756_Q4,ML 1+1,103.88,ME
44756_Q5,ML 1+1,106.12,ME
44756_Q6,ML 1+1,114.64,ME
44756_Q7,ML 1+1,114.71,ME
44756_Q8,ML 1+1,90.25,ME
44756_Q1,ML 1+4,70.51,ME
44756_Q2,ML 1+4,85.81,ME
44756_Q3,ML 1+4,89.45,ME
44756_Q4,ML 1+4,80.81,ME
44756_Q5,ML 1+4,82.62,ME
44756_Q6,ML 1+4,86.3,ME
44756_Q7,ML 1+4,86.38,ME
44756_Q8,ML 1+4,71.59,ME
44756_Q1,MSR,0.373,log(ME)/log(s)
44756_Q2,MSR,0.338,log(ME)/log(s)
44756_Q3,MSR,0.331,log(ME)/log(s)
44756_Q4,MSR,0.351,log(ME)/log(s)
44756_Q5,MSR,0.345,log(ME)/log(s)
44756_Q6,MSR,0.346,log(ME)/log(s)
44756_Q7,MSR,0.337,log(ME)/log(s)
44756_Q8,MSR,0.374,log(ME)/log(s)
44756_Q1,Umsatzzeit 90percent,864.84,[sec]
44756_Q2,Umsatzzeit 90percent,840.36,[sec]
44756_Q3,Umsatzzeit 90percent,824.76,[sec]
44756_Q4,Umsatzzeit 90percent,870.06,[sec]
44756_Q5,Umsatzzeit 90percent,875.94,[sec]
44756_Q6,Umsatzzeit 90percent,849.18,[sec]
44756_Q7,Umsatzzeit 90percent,831.54,[sec]
44756_Q8,Umsatzzeit 90percent,894.96,[sec]
44756_Q1,S_dash bei 90percent Umsatz,16.12,dNm
44756_Q2,S_dash bei 90percent Umsatz,16.47,dNm
44756_Q3,S_dash bei 90percent Umsatz,16.88,dNm
44756_Q4,S_dash bei 90percent Umsatz,16.52,dNm
44756_Q5,S_dash bei 90percent Umsatz,16.43,dNm
44756_Q6,S_dash bei 90percent Umsatz,16.96,dNm
44756_Q7,S_dash bei 90percent Umsatz,16.74,dNm
44756_Q8,S_dash bei 90percent Umsatz,16.43,dNm
44756_Q1,Hardness_mean_value,62.5,Shore A
44756_Q2,Hardness_mean_value,62.27,Shore A
44756_Q3,Hardness_mean_value,63.63,Shore A
44756_Q4,Hardness_mean_value,61.6,Shore A
44756_Q5,Hardness_mean_value,62.37,Shore A
44756_Q6,Hardness_mean_value,64.13,Shore A
44756_Q7,Hardness_mean_value,62.4,Shore A
44756_Q8,Hardness_mean_value,61.9,Shore A
44756_Q1,Rebound_mean_value_1,40.2,percent
44756_Q2,Rebound_mean_value_1,39.07,percent
44756_Q3,Rebound_mean_value_1,38.47,percent
44756_Q4,Rebound_mean_value_1,39.07,percent
44756_Q5,Rebound_mean_value_1,38.8,percent
44756_Q6,Rebound_mean_value_1,37.53,percent
44756_Q7,Rebound_mean_value_1,37.8,percent
44756_Q8,Rebound_mean_value_1,39.6,percent
44756_Q1,Rebound_mean_value_2,62.5,percent
44756_Q2,Rebound_mean_value_2,62.5,percent
44756_Q3,Rebound_mean_value_2,64.5,percent
44756_Q4,Rebound_mean_value_2,61.5,percent
44756_Q5,Rebound_mean_value_2,61.5,percent
44756_Q6,Rebound_mean_value_2,61.0,percent
44756_Q7,Rebound_mean_value_2,62.5,percent
44756_Q8,Rebound_mean_value_2,62.0,percent
44756_Q1,Rebound_mean_value_3,62.5,percent
44756_Q2,Rebound_mean_value_3,67.0,percent
44756_Q3,Rebound_mean_value_3,66.0,percent
44756_Q4,Rebound_mean_value_3,63.5,percent
44756_Q5,Rebound_mean_value_3,65.5,percent
44756_Q6,Rebound_mean_value_3,63.0,percent
44756_Q7,Rebound_mean_value_3,65.5,percent
44756_Q8,Rebound_mean_value_3,62.5,percent
