is_about,is_quality_measurement_of,has_specified_numeric_value,has_measurement_unit_label
43225_Q1,ML 1+1,60.31,ME
43225_Q2,ML 1+1,71.69,ME
43225_Q3,ML 1+1,75.25,ME
43225_Q4,ML 1+1,73.59,ME
43225_Q5,ML 1+1,59.17,ME
43225_Q6,ML 1+1,74.22,ME
43225_Q7,ML 1+1,73.63,ME
43225_Q8,ML 1+1,71.87,ME
43225_Q1,ML 1+4,51.82,ME
43225_Q2,ML 1+4,59.88,ME
43225_Q3,ML 1+4,62.85,ME
43225_Q4,ML 1+4,61.37,ME
43225_Q5,ML 1+4,50.64,ME
43225_Q6,ML 1+4,61.94,ME
43225_Q7,ML 1+4,61.62,ME
43225_Q8,ML 1+4,60.28,ME
43225_Q1,MSR,0.545,log(ME)/log(s)
43225_Q2,MSR,0.468,log(ME)/log(s)
43225_Q3,MSR,0.452,log(ME)/log(s)
43225_Q4,MSR,0.464,log(ME)/log(s)
43225_Q5,MSR,0.56,log(ME)/log(s)
43225_Q6,MSR,0.446,log(ME)/log(s)
43225_Q7,MSR,0.46,log(ME)/log(s)
43225_Q8,MSR,0.475,log(ME)/log(s)
43225_Q1,Umsatzzeit 90percent,836.7,[sec]
43225_Q2,Umsatzzeit 90percent,824.58,[sec]
43225_Q3,Umsatzzeit 90percent,905.88,[sec]
43225_Q4,Umsatzzeit 90percent,811.53,[sec]
43225_Q5,Umsatzzeit 90percent,836.2,[sec]
43225_Q6,Umsatzzeit 90percent,825.93,[sec]
43225_Q7,Umsatzzeit 90percent,826.08,[sec]
43225_Q8,Umsatzzeit 90percent,841.02,[sec]
43225_Q1,S_dash bei 90percent Umsatz,18.44,dNm
43225_Q2,S_dash bei 90percent Umsatz,17.9,dNm
43225_Q3,S_dash bei 90percent Umsatz,16.42,dNm
43225_Q4,S_dash bei 90percent Umsatz,17.66,dNm
43225_Q5,S_dash bei 90percent Umsatz,18.57,dNm
43225_Q6,S_dash bei 90percent Umsatz,17.74,dNm
43225_Q7,S_dash bei 90percent Umsatz,17.85,dNm
43225_Q8,S_dash bei 90percent Umsatz,17.92,dNm
43225_Q1,Hardness_mean_value,66.53,Shore A
43225_Q2,Hardness_mean_value,64.97,Shore A
43225_Q3,Hardness_mean_value,62.7,Shore A
43225_Q4,Hardness_mean_value,64.1,Shore A
43225_Q5,Hardness_mean_value,67.47,Shore A
43225_Q6,Hardness_mean_value,64.33,Shore A
43225_Q7,Hardness_mean_value,64.03,Shore A
43225_Q8,Hardness_mean_value,64.73,Shore A
43225_Q1,Rebound_mean_value_1,36.4,percent
43225_Q2,Rebound_mean_value_1,39.4,percent
43225_Q3,Rebound_mean_value_1,39.4,percent
43225_Q4,Rebound_mean_value_1,40.0,percent
43225_Q5,Rebound_mean_value_1,37.2,percent
43225_Q6,Rebound_mean_value_1,40.13,percent
43225_Q7,Rebound_mean_value_1,39.13,percent
43225_Q8,Rebound_mean_value_1,40.0,percent
43225_Q1,Rebound_mean_value_2,56.0,percent
43225_Q2,Rebound_mean_value_2,59.5,percent
43225_Q3,Rebound_mean_value_2,60.5,percent
43225_Q4,Rebound_mean_value_2,61.0,percent
43225_Q5,Rebound_mean_value_2,56.0,percent
43225_Q6,Rebound_mean_value_2,60.5,percent
43225_Q7,Rebound_mean_value_2,60.5,percent
43225_Q8,Rebound_mean_value_2,61.5,percent
43225_Q1,Rebound_mean_value_3,57.5,percent
43225_Q2,Rebound_mean_value_3,62.5,percent
43225_Q3,Rebound_mean_value_3,61.5,percent
43225_Q4,Rebound_mean_value_3,61.5,percent
43225_Q5,Rebound_mean_value_3,58.0,percent
43225_Q6,Rebound_mean_value_3,62.0,percent
43225_Q7,Rebound_mean_value_3,61.5,percent
43225_Q8,Rebound_mean_value_3,61.5,percent
43225_Q1,S50,1.5,MPa
43225_Q2,S50,1.4,MPa
43225_Q3,S50,1.3,MPa
43225_Q4,S50,1.4,MPa
43225_Q5,S50,1.6,MPa
43225_Q6,S50,1.4,MPa
43225_Q7,S50,1.4,MPa
43225_Q8,S50,1.4,MPa
43225_Q1,S100,2.7,MPa
43225_Q2,S100,2.7,MPa
43225_Q3,S100,2.4,MPa
43225_Q4,S100,2.6,MPa
43225_Q5,S100,2.9,MPa
43225_Q6,S100,2.6,MPa
43225_Q7,S100,2.5,MPa
43225_Q8,S100,2.6,MPa
43225_Q1,S300,12.3,MPa
43225_Q2,S300,14.3,MPa
43225_Q3,S300,12.6,MPa
43225_Q4,S300,14.0,MPa
43225_Q5,S300,13.2,MPa
43225_Q6,S300,14.2,MPa
43225_Q7,S300,13.8,MPa
43225_Q8,S300,13.9,MPa
43225_Q1,D Median,397.0,percent
43225_Q2,D Median,378.0,percent
43225_Q3,D Median,420.0,percent
43225_Q4,D Median,370.0,percent
43225_Q5,D Median,431.0,percent
43225_Q6,D Median,404.0,percent
43225_Q7,D Median,402.0,percent
43225_Q8,D Median,392.0,percent
43225_Q1,F Median,17.6,MPa
43225_Q2,F Median,19.8,MPa
43225_Q3,F Median,20.0,MPa
43225_Q4,F Median,18.9,MPa
43225_Q5,F Median,20.5,MPa
43225_Q6,F Median,21.2,MPa
43225_Q7,F Median,20.9,MPa
43225_Q8,F Median,20.0,MPa
43225_Q1,E_dash_0_degree_celcius,43.64,MPa
43225_Q2,E_dash_0_degree_celcius,23.2,MPa
43225_Q3,E_dash_0_degree_celcius,19.42,MPa
43225_Q4,E_dash_0_degree_celcius,21.49,MPa
43225_Q5,E_dash_0_degree_celcius,42.33,MPa
43225_Q6,E_dash_0_degree_celcius,22.19,MPa
43225_Q7,E_dash_0_degree_celcius,26.65,MPa
43225_Q8,E_dash_0_degree_celcius,24.67,MPa
43225_Q1,E_double_dash_0_degree_celcius,10.78,MPa
43225_Q2,E_double_dash_0_degree_celcius,6.64,MPa
43225_Q3,E_double_dash_0_degree_celcius,5.73,MPa
43225_Q4,E_double_dash_0_degree_celcius,6.12,MPa
43225_Q5,E_double_dash_0_degree_celcius,10.5,MPa
43225_Q6,E_double_dash_0_degree_celcius,6.36,MPa
43225_Q7,E_double_dash_0_degree_celcius,7.35,MPa
43225_Q8,E_double_dash_0_degree_celcius,6.86,MPa
43225_Q1,E_dash_23_degree_celcius,25.53,MPa
43225_Q2,E_dash_23_degree_celcius,13.6,MPa
43225_Q3,E_dash_23_degree_celcius,11.26,MPa
43225_Q4,E_dash_23_degree_celcius,12.56,MPa
43225_Q5,E_dash_23_degree_celcius,25.77,MPa
