is_about,is_quality_measurement_of,has_specified_numeric_value,has_measurement_unit_label
44560_Q1,ML 1+1,84.68,ME
44560_Q2,ML 1+1,80.71,ME
44560_Q3,ML 1+1,83.62,ME
44560_Q4,ML 1+1,81.31,ME
44560_Q5,ML 1+1,87.38,ME
44560_Q6,ML 1+1,83.35,ME
44560_Q7,ML 1+1,82.73,ME
44560_Q8,ML 1+1,77.18,ME
44560_Q1,ML 1+4,69.9,ME
44560_Q2,ML 1+4,69.65,ME
44560_Q3,ML 1+4,69.62,ME
44560_Q4,ML 1+4,70.45,ME
44560_Q5,ML 1+4,72.35,ME
44560_Q6,ML 1+4,74.38,ME
44560_Q7,ML 1+4,71.05,ME
44560_Q8,ML 1+4,66.89,ME
44560_Q1,MSR,0.328,log(ME)/log(s)
44560_Q2,MSR,0.365,log(ME)/log(s)
44560_Q3,MSR,0.379,log(ME)/log(s)
44560_Q4,MSR,0.363,log(ME)/log(s)
44560_Q5,MSR,0.32,log(ME)/log(s)
44560_Q6,MSR,0.409,log(ME)/log(s)
44560_Q7,MSR,0.356,log(ME)/log(s)
44560_Q8,MSR,0.356,log(ME)/log(s)
44560_Q1,Umsatzzeit 90percent,807.36,[sec]
44560_Q2,Umsatzzeit 90percent,844.59,[sec]
44560_Q3,Umsatzzeit 90percent,754.56,[sec]
44560_Q4,Umsatzzeit 90percent,856.62,[sec]
44560_Q5,Umsatzzeit 90percent,806.31,[sec]
44560_Q6,Umsatzzeit 90percent,824.22,[sec]
44560_Q7,Umsatzzeit 90percent,742.77,[sec]
44560_Q8,Umsatzzeit 90percent,743.28,[sec]
44560_Q1,S_dash bei 90percent Umsatz,16.69,dNm
44560_Q2,S_dash bei 90percent Umsatz,17.16,dNm
44560_Q3,S_dash bei 90percent Umsatz,16.87,dNm
44560_Q4,S_dash bei 90percent Umsatz,17.55,dNm
44560_Q5,S_dash bei 90percent Umsatz,16.77,dNm
44560_Q6,S_dash bei 90percent Umsatz,16.91,dNm
44560_Q7,S_dash bei 90percent Umsatz,17.17,dNm
44560_Q8,S_dash bei 90percent Umsatz,17.49,dNm
44560_Q1,Hardness_mean_value,65.13,Shore A
44560_Q2,Hardness_mean_value,64.5,Shore A
44560_Q3,Hardness_mean_value,65.47,Shore A
44560_Q4,Hardness_mean_value,65.1,Shore A
44560_Q5,Hardness_mean_value,65.17,Shore A
