is_about,is_quality_measurement_of,has_specified_numeric_value,has_measurement_unit_label
44760_Q1,ML 1+1,90.53,ME
44760_Q2,ML 1+1,84.97,ME
44760_Q3,ML 1+1,88.13,ME
44760_Q4,ML 1+1,73.84,ME
44760_Q5,ML 1+1,73.73,ME
44760_Q6,ML 1+1,87.97,ME
44760_Q7,ML 1+1,86.25,ME
44760_Q8,ML 1+1,91.02,ME
44760_Q1,ML 1+4,73.3,ME
44760_Q2,ML 1+4,75.38,ME
44760_Q3,ML 1+4,73.57,ME
44760_Q4,ML 1+4,65.39,ME
44760_Q5,ML 1+4,65.42,ME
44760_Q6,ML 1+4,73.49,ME
44760_Q7,ML 1+4,77.24,ME
44760_Q8,ML 1+4,75.08,ME
44760_Q1,MSR,0.389,log(ME)/log(s)
44760_Q2,MSR,0.43,log(ME)/log(s)
44760_Q3,MSR,0.391,log(ME)/log(s)
44760_Q4,MSR,0.479,log(ME)/log(s)
44760_Q5,MSR,0.476,log(ME)/log(s)
44760_Q6,MSR,0.383,log(ME)/log(s)
44760_Q7,MSR,0.421,log(ME)/log(s)
44760_Q8,MSR,0.379,log(ME)/log(s)
44760_Q1,Umsatzzeit 90percent,753.33,[sec]
44760_Q2,Umsatzzeit 90percent,931.11,[sec]
44760_Q3,Umsatzzeit 90percent,850.5,[sec]
44760_Q4,Umsatzzeit 90percent,935.16,[sec]
44760_Q5,Umsatzzeit 90percent,946.62,[sec]
44760_Q6,Umsatzzeit 90percent,880.5,[sec]
44760_Q7,Umsatzzeit 90percent,917.1,[sec]
44760_Q8,Umsatzzeit 90percent,824.28,[sec]
44760_Q1,S_dash bei 90percent Umsatz,16.2,dNm
44760_Q2,S_dash bei 90percent Umsatz,16.01,dNm
44760_Q3,S_dash bei 90percent Umsatz,16.18,dNm
44760_Q4,S_dash bei 90percent Umsatz,15.63,dNm
44760_Q5,S_dash bei 90percent Umsatz,15.68,dNm
44760_Q6,S_dash bei 90percent Umsatz,16.11,dNm
44760_Q7,S_dash bei 90percent Umsatz,16.31,dNm
44760_Q8,S_dash bei 90percent Umsatz,16.28,dNm
44760_Q1,Hardness_mean_value,61.63,Shore A
44760_Q2,Hardness_mean_value,60.6,Shore A
44760_Q3,Hardness_mean_value,62.67,Shore A
44760_Q4,Hardness_mean_value,61.57,Shore A
44760_Q5,Hardness_mean_value,62.23,Shore A
44760_Q6,Hardness_mean_value,61.77,Shore A
44760_Q7,Hardness_mean_value,62.57,Shore A
44760_Q8,Hardness_mean_value,63.13,Shore A
44760_Q1,Rebound_mean_value_1,37.53,percent
44760_Q2,Rebound_mean_value_1,38.87,percent
44760_Q3,Rebound_mean_value_1,38.0,percent
44760_Q4,Rebound_mean_value_1,38.53,percent
44760_Q5,Rebound_mean_value_1,39.0,percent
44760_Q6,Rebound_mean_value_1,38.0,percent
44760_Q7,Rebound_mean_value_1,38.93,percent
44760_Q8,Rebound_mean_value_1,37.13,percent
44760_Q1,Rebound_mean_value_2,63.5,percent
44760_Q2,Rebound_mean_value_2,63.5,percent
44760_Q3,Rebound_mean_value_2,61.5,percent
44760_Q4,Rebound_mean_value_2,63.0,percent
44760_Q5,Rebound_mean_value_2,63.5,percent
44760_Q6,Rebound_mean_value_2,61.5,percent
44760_Q7,Rebound_mean_value_2,64.5,percent
44760_Q8,Rebound_mean_value_2,62.5,percent
44760_Q1,Rebound_mean_value_3,65.5,percent
44760_Q2,Rebound_mean_value_3,67.5,percent
44760_Q3,Rebound_mean_value_3,64.5,percent
44760_Q4,Rebound_mean_value_3,66.0,percent
44760_Q5,Rebound_mean_value_3,66.5,percent
44760_Q6,Rebound_mean_value_3,66.0,percent
44760_Q7,Rebound_mean_value_3,66.5,percent
44760_Q8,Rebound_mean_value_3,66.5,percent
44760_Q1,S50,1.3,MPa
44760_Q2,S50,1.4,MPa
44760_Q3,S50,1.3,MPa
44760_Q4,S50,1.4,MPa
44760_Q5,S50,1.4,MPa
44760_Q6,S50,1.3,MPa
44760_Q7,S50,1.4,MPa
44760_Q8,S50,1.3,MPa
44760_Q1,S100,2.4,MPa
44760_Q2,S100,2.5,MPa
44760_Q3,S100,2.4,MPa
44760_Q4,S100,2.6,MPa
44760_Q5,S100,2.4,MPa
44760_Q6,S100,2.4,MPa
44760_Q7,S100,2.5,MPa
44760_Q8,S100,2.5,MPa
