is_about,is_quality_measurement_of,has_specified_numeric_value,has_measurement_unit_label
41149_Q1,ML 1+1,61.83,ME
41149_Q2,ML 1+1,54.98,ME
41149_Q3,ML 1+1,79.62,ME
41149_Q4,ML 1+1,52.84,ME
41149_Q5,ML 1+1,78.88,ME
41149_Q6,ML 1+1,67.98,ME
41149_Q7,ML 1+1,76.8,ME
41149_Q1,ML 1+4,51.75,ME
41149_Q2,ML 1+4,45.99,ME
41149_Q3,ML 1+4,66.69,ME
41149_Q4,ML 1+4,44.35,ME
41149_Q5,ML 1+4,64.64,ME
41149_Q6,ML 1+4,59.3,ME
41149_Q7,ML 1+4,63.47,ME
41149_Q1,MSR,0.539,log(ME)/log(s)
41149_Q2,MSR,0.522,log(ME)/log(s)
41149_Q3,MSR,0.437,log(ME)/log(s)
41149_Q4,MSR,0.53,log(ME)/log(s)
41149_Q5,MSR,0.435,log(ME)/log(s)
41149_Q6,MSR,0.445,log(ME)/log(s)
41149_Q7,MSR,0.432,log(ME)/log(s)
41149_Q1,Umsatzzeit 90percent,783.96,[sec]
41149_Q2,Umsatzzeit 90percent,821.22,[sec]
41149_Q3,Umsatzzeit 90percent,815.64,[sec]
41149_Q4,Umsatzzeit 90percent,811.32,[sec]
41149_Q5,Umsatzzeit 90percent,811.74,[sec]
41149_Q6,Umsatzzeit 90percent,791.34,[sec]
41149_Q7,Umsatzzeit 90percent,807.24,[sec]
41149_Q1,S_dash bei 90percent Umsatz,17.82,dNm
41149_Q2,S_dash bei 90percent Umsatz,17.68,dNm
41149_Q3,S_dash bei 90percent Umsatz,17.45,dNm
41149_Q4,S_dash bei 90percent Umsatz,17.75,dNm
41149_Q5,S_dash bei 90percent Umsatz,16.78,dNm
41149_Q6,S_dash bei 90percent Umsatz,16.7,dNm
41149_Q7,S_dash bei 90percent Umsatz,16.78,dNm
41149_Q1,Massedruck_1,30.75,bar
41149_Q2,Massedruck_1,30.55,bar
41149_Q3,Massedruck_1,37.25,bar
41149_Q4,Massedruck_1,0.0,bar
41149_Q5,Massedruck_1,34.75,bar
41149_Q6,Massedruck_1,34.75,bar
41149_Q7,Massedruck_1,35.0,bar
41149_Q1,Massedruck_2,27.7,bar
41149_Q2,Massedruck_2,25.75,bar
