is_about,is_quality_measurement_of,has_specified_numeric_value,has_measurement_unit_label
44313_Q1,ML 1+1,78.76,ME
44313_Q2,ML 1+1,64.23,ME
44313_Q3,ML 1+1,63.95,ME
44313_Q4,ML 1+1,74.72,ME
44313_Q5,ML 1+1,77.37,ME
44313_Q6,ML 1+1,65.73,ME
44313_Q7,ML 1+1,70.33,ME
44313_Q8,ML 1+1,68.97,ME
44313_Q1,ML 1+4,64.79,ME
44313_Q2,ML 1+4,56.54,ME
44313_Q3,ML 1+4,56.31,ME
44313_Q4,ML 1+4,62.4,ME
44313_Q5,ML 1+4,64.14,ME
44313_Q6,ML 1+4,58.35,ME
44313_Q7,ML 1+4,63.36,ME
44313_Q8,ML 1+4,61.29,ME
44313_Q1,MSR,0.358,log(ME)/log(s)
44313_Q2,MSR,0.456,log(ME)/log(s)
44313_Q3,MSR,0.458,log(ME)/log(s)
44313_Q4,MSR,0.43,log(ME)/log(s)
44313_Q5,MSR,0.359,log(ME)/log(s)
44313_Q6,MSR,0.47,log(ME)/log(s)
44313_Q7,MSR,0.489,log(ME)/log(s)
44313_Q8,MSR,0.474,log(ME)/log(s)
44313_Q1,Umsatzzeit 90percent,857.82,[sec]
44313_Q2,Umsatzzeit 90percent,808.02,[sec]
44313_Q3,Umsatzzeit 90percent,834.78,[sec]
44313_Q4,Umsatzzeit 90percent,767.52,[sec]
44313_Q5,Umsatzzeit 90percent,851.25,[sec]
44313_Q6,Umsatzzeit 90percent,808.92,[sec]
44313_Q7,Umsatzzeit 90percent,857.55,[sec]
44313_Q8,Umsatzzeit 90percent,832.8,[sec]
44313_Q1,S_dash bei 90percent Umsatz,15.69,dNm
44313_Q2,S_dash bei 90percent Umsatz,16.85,dNm
44313_Q3,S_dash bei 90percent Umsatz,16.6,dNm
44313_Q4,S_dash bei 90percent Umsatz,16.61,dNm
44313_Q5,S_dash bei 90percent Umsatz,15.52,dNm
44313_Q6,S_dash bei 90percent Umsatz,16.35,dNm
44313_Q7,S_dash bei 90percent Umsatz,16.05,dNm
44313_Q8,S_dash bei 90percent Umsatz,16.61,dNm
44313_Q1,Hardness_mean_value,61.27,Shore A
44313_Q2,Hardness_mean_value,63.17,Shore A
44313_Q3,Hardness_mean_value,64.23,Shore A
44313_Q4,Hardness_mean_value,62.43,Shore A
44313_Q5,Hardness_mean_value,61.77,Shore A
44313_Q6,Hardness_mean_value,61.0,Shore A
44313_Q7,Hardness_mean_value,62.5,Shore A
44313_Q8,Hardness_mean_value,62.77,Shore A
44313_Q1,Rebound_mean_value_1,60.5,percent
44313_Q2,Rebound_mean_value_1,57.5,percent
44313_Q3,Rebound_mean_value_1,60.0,percent
44313_Q4,Rebound_mean_value_1,61.0,percent
44313_Q5,Rebound_mean_value_1,60.5,percent
44313_Q6,Rebound_mean_value_1,61.0,percent
44313_Q7,Rebound_mean_value_1,62.0,percent
44313_Q8,Rebound_mean_value_1,61.5,percent
44313_Q1,Rebound_mean_value_2,36.87,percent
44313_Q2,Rebound_mean_value_2,37.47,percent
44313_Q3,Rebound_mean_value_2,37.4,percent
44313_Q4,Rebound_mean_value_2,37.93,percent
44313_Q5,Rebound_mean_value_2,37.2,percent
44313_Q6,Rebound_mean_value_2,40.53,percent
44313_Q7,Rebound_mean_value_2,40.07,percent
44313_Q8,Rebound_mean_value_2,39.33,percent
44313_Q1,Rebound_mean_value_3,58.5,percent
44313_Q2,Rebound_mean_value_3,56.5,percent
44313_Q3,Rebound_mean_value_3,56.5,percent
44313_Q4,Rebound_mean_value_3,59.5,percent
44313_Q5,Rebound_mean_value_3,58.5,percent
44313_Q6,Rebound_mean_value_3,58.5,percent
44313_Q7,Rebound_mean_value_3,,percent
44313_Q8,Rebound_mean_value_3,57.5,percent
44313_Q1,S50,1.4,MPa
44313_Q2,S50,1.5,MPa
44313_Q3,S50,1.5,MPa
44313_Q4,S50,1.6,MPa
44313_Q5,S50,1.4,MPa
44313_Q6,S50,1.5,MPa
44313_Q7,S50,1.5,MPa
44313_Q8,S50,1.6,MPa
44313_Q1,S100,2.5,MPa
44313_Q2,S100,2.7,MPa
44313_Q3,S100,2.7,MPa
44313_Q4,S100,2.9,MPa
44313_Q5,S100,2.5,MPa
44313_Q6,S100,2.7,MPa
44313_Q7,S100,2.7,MPa
44313_Q8,S100,2.8,MPa
44313_Q1,S300,13.6,MPa
44313_Q2,S300,13.6,MPa
44313_Q3,S300,13.4,MPa
44313_Q4,S300,14.5,MPa
44313_Q5,S300,14.3,MPa
44313_Q6,S300,13.6,MPa
44313_Q7,S300,13.3,MPa
44313_Q8,S300,13.8,MPa
44313_Q1,D Median,420.0,percent
44313_Q2,D Median,421.0,percent
44313_Q3,D Median,421.0,percent
44313_Q4,D Median,402.0,percent
44313_Q5,D Median,398.0,percent
44313_Q6,D Median,422.0,percent
44313_Q7,D Median,408.0,percent
44313_Q8,D Median,418.0,percent
44313_Q1,F Median,21.7,MPa
44313_Q2,F Median,21.5,MPa
44313_Q3,F Median,21.1,MPa
44313_Q4,F Median,21.4,MPa
44313_Q5,F Median,21.2,MPa
44313_Q6,F Median,21.7,MPa
44313_Q7,F Median,20.2,MPa
44313_Q8,F Median,21.5,MPa
44313_Q1,E_dash_0_degree_celcius,27.42,MPa
44313_Q2,E_dash_0_degree_celcius,34.53,MPa
44313_Q3,E_dash_0_degree_celcius,35.45,MPa
44313_Q4,E_dash_0_degree_celcius,30.0,MPa
44313_Q5,E_dash_0_degree_celcius,24.34,MPa
44313_Q6,E_dash_0_degree_celcius,33.35,MPa
44313_Q7,E_dash_0_degree_celcius,34.53,MPa
44313_Q8,E_dash_0_degree_celcius,33.43,MPa
44313_Q1,E_double_dash_0_degree_celcius,7.93,MPa
44313_Q2,E_double_dash_0_degree_celcius,8.94,MPa
44313_Q3,E_double_dash_0_degree_celcius,8.91,MPa
44313_Q4,E_double_dash_0_degree_celcius,8.11,MPa
44313_Q5,E_double_dash_0_degree_celcius,7.3,MPa
44313_Q6,E_double_dash_0_degree_celcius,8.69,MPa
44313_Q7,E_double_dash_0_degree_celcius,8.79,MPa
