is_about,is_quality_measurement_of,has_specified_numeric_value,has_measurement_unit_label
43855_Q1,ML 1+1,70.81,ME
43855_Q2,ML 1+1,70.74,ME
43855_Q3,ML 1+1,78.85,ME
43855_Q4,ML 1+1,73.17,ME
43855_Q5,ML 1+1,74.4,ME
43855_Q6,ML 1+1,79.04,ME
43855_Q7,ML 1+1,73.78,ME
43855_Q8,ML 1+1,73.03,ME
43855_Q1,ML 1+4,62.52,ME
43855_Q2,ML 1+4,62.17,ME
43855_Q3,ML 1+4,64.0,ME
43855_Q4,ML 1+4,63.92,ME
43855_Q5,ML 1+4,65.11,ME
43855_Q6,ML 1+4,64.72,ME
43855_Q7,ML 1+4,64.08,ME
43855_Q8,ML 1+4,63.56,ME
43855_Q1,MSR,0.462,log(ME)/log(s)
43855_Q2,MSR,0.465,log(ME)/log(s)
43855_Q3,MSR,0.427,log(ME)/log(s)
43855_Q4,MSR,0.452,log(ME)/log(s)
43855_Q5,MSR,0.459,log(ME)/log(s)
43855_Q6,MSR,0.4,log(ME)/log(s)
43855_Q7,MSR,0.45,log(ME)/log(s)
43855_Q8,MSR,0.453,log(ME)/log(s)
43855_Q1,Umsatzzeit 90percent,773.22,[sec]
43855_Q2,Umsatzzeit 90percent,784.2,[sec]
43855_Q3,Umsatzzeit 90percent,763.71,[sec]
43855_Q4,Umsatzzeit 90percent,786.66,[sec]
43855_Q5,Umsatzzeit 90percent,843.9,[sec]
43855_Q6,Umsatzzeit 90percent,834.99,[sec]
43855_Q7,Umsatzzeit 90percent,768.09,[sec]
43855_Q8,Umsatzzeit 90percent,763.35,[sec]
43855_Q1,S_dash bei 90percent Umsatz,17.59,dNm
43855_Q2,S_dash bei 90percent Umsatz,17.79,dNm
43855_Q3,S_dash bei 90percent Umsatz,17.23,dNm
43855_Q4,S_dash bei 90percent Umsatz,17.29,dNm
43855_Q5,S_dash bei 90percent Umsatz,17.36,dNm
43855_Q6,S_dash bei 90percent Umsatz,17.26,dNm
43855_Q7,S_dash bei 90percent Umsatz,17.44,dNm
43855_Q8,S_dash bei 90percent Umsatz,17.52,dNm
43855_Q1,Hardness_mean_value,63.53,Shore A
43855_Q2,Hardness_mean_value,62.1,Shore A
43855_Q3,Hardness_mean_value,61.57,Shore A
43855_Q4,Hardness_mean_value,62.63,Shore A
43855_Q5,Hardness_mean_value,62.53,Shore A
43855_Q6,Hardness_mean_value,62.43,Shore A
43855_Q7,Hardness_mean_value,62.37,Shore A
43855_Q8,Hardness_mean_value,62.37,Shore A
43855_Q1,Rebound_mean_value_1,39.2,percent
43855_Q2,Rebound_mean_value_1,39.53,percent
43855_Q3,Rebound_mean_value_1,41.2,percent
43855_Q4,Rebound_mean_value_1,40.2,percent
43855_Q5,Rebound_mean_value_1,38.8,percent
43855_Q6,Rebound_mean_value_1,38.87,percent
43855_Q7,Rebound_mean_value_1,39.2,percent
43855_Q8,Rebound_mean_value_1,38.33,percent
43855_Q1,Rebound_mean_value_2,60.5,percent
43855_Q2,Rebound_mean_value_2,58.5,percent
43855_Q3,Rebound_mean_value_2,59.5,percent
43855_Q4,Rebound_mean_value_2,59.5,percent
43855_Q5,Rebound_mean_value_2,61.0,percent
43855_Q6,Rebound_mean_value_2,60.0,percent
43855_Q7,Rebound_mean_value_2,60.5,percent
43855_Q8,Rebound_mean_value_2,59.5,percent
43855_Q1,Rebound_mean_value_3,61.0,percent
43855_Q2,Rebound_mean_value_3,62.5,percent
43855_Q3,Rebound_mean_value_3,62.5,percent
43855_Q4,Rebound_mean_value_3,61.5,percent
43855_Q5,Rebound_mean_value_3,61.5,percent
43855_Q6,Rebound_mean_value_3,62.5,percent
43855_Q7,Rebound_mean_value_3,62.0,percent
43855_Q8,Rebound_mean_value_3,62.5,percent
43855_Q1,S50,1.4,MPa
43855_Q2,S50,1.4,MPa
43855_Q3,S50,1.3,MPa
43855_Q4,S50,1.4,MPa
43855_Q5,S50,1.4,MPa
43855_Q6,S50,1.3,MPa
43855_Q7,S50,1.5,MPa
43855_Q8,S50,1.4,MPa
43855_Q1,S100,2.4,MPa
43855_Q2,S100,2.4,MPa
43855_Q3,S100,2.3,MPa
43855_Q4,S100,2.4,MPa
43855_Q5,S100,2.4,MPa
43855_Q6,S100,2.3,MPa
43855_Q7,S100,2.5,MPa
43855_Q8,S100,2.5,MPa
43855_Q1,S300,12.8,MPa
43855_Q2,S300,13.1,MPa
43855_Q3,S300,12.8,MPa
43855_Q4,S300,12.4,MPa
43855_Q5,S300,12.9,MPa
43855_Q6,S300,13.2,MPa
43855_Q7,S300,12.8,MPa
43855_Q8,S300,12.6,MPa
43855_Q1,D Median,422.0,percent
43855_Q2,D Median,435.0,percent
43855_Q3,D Median,442.0,percent
43855_Q4,D Median,423.0,percent
43855_Q5,D Median,411.0,percent
43855_Q6,D Median,398.0,percent
43855_Q7,D Median,446.0,percent
43855_Q8,D Median,391.0,percent
43855_Q1,F Median,20.8,MPa
43855_Q2,F Median,21.9,MPa
43855_Q3,F Median,21.2,MPa
43855_Q4,F Median,20.0,MPa
43855_Q5,F Median,19.4,MPa
43855_Q6,F Median,19.9,MPa
43855_Q7,F Median,21.8,MPa
43855_Q8,F Median,18.3,MPa
43855_Q1,E_dash_0_degree_celcius,26.04,MPa
43855_Q2,E_dash_0_degree_celcius,31.34,MPa
